CCODE,CNAME,VENDOR_NO,WORK_ORDER,WO_FROM_DATE,WO_TO_DATE,CVALUE,DURATION,CDURATION,EIC_PRNO,EIC,JOB_DESC,DEPARTMENT,EMPLOYEE_COUNT,CLRA,ISMW,WORKMEN_TOT,EXCESS_CLRA_COUNT,EXCESS_CLRA_CONT_COUNT,STATUS
CT1064,EIL-THERMAL SYSTEMS - CARBORUNDAM- PACIFIC REFRACTORIES LTD.,,CSRPO/001187/19,2020-12-31,2021-06-30,NULL,23,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,5,19,NULL,NULL,NULL,1
CT0550,IOCL-DIVYA DHARSHINI TRANSPORT,,DIVYA DHARSHINI,2021-04-29,,NULL,119,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,55,55,NULL,NULL,NULL,1
CT1144,EXCEL ENVIRONMENTAL TECHNOLOGIES-J.DHAKSHANI ENTERPRISES,,EETPL-001/2020-21,2021-12-27,,NULL,418,NULL,12345,Mr. BALAKRISHNAN L,MAINTENANCE,MAINTENANCE,NULL,15,4,NULL,NULL,NULL,1
CT1108,EIL-LAKSHMI TRAVELS,,EIL-A927/541/2020-01,2020-12-31,2021-06-30,NULL,59,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,14,5,NULL,NULL,NULL,1
CT0933,S P CONTROLS,,EPCC/CPCL/RLNG/209/LOA,2021-03-29,2021-08-28,,undefined,5,,,INSTRUMENTATION WORK,INSTRUMENTATION,NULL,15,4,19,NULL,NULL,1
CT0473,IOCL-K GAJJALAIAH & CO,,GAJALLIAH,2021-06-30,,NULL,181,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,50,150,NULL,NULL,NULL,1
CT1117,GULF ENGINEERING-V G ENTERPRISES,,GECPL/CPCL/24016,2021-12-21,,NULL,478,NULL,2432,Mr. RAJA M,MAINTENANCE,MAINTENANCE,NULL,1,NULL,NULL,NULL,NULL,1
CT0433,ADMIN-S K ENGINEERING,,HRD:06:007,2021-04-30,,NULL,120,NULL,3187,SUBRAMANI S,MAINTENANCE,MAINTENANCE,NULL,NULL,NULL,NULL,NULL,NULL,1
CT0765,IOCL-INTERTEK INDIA PVT LTD,,IIT-24653344,2020-12-31,,NULL,30,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,14,5,NULL,NULL,NULL,1
CT0081,IOCL-J.M.C. CONSTRUCTION PVT. LTD.,,IOC JMC TRANS,2020-12-31,,NULL,178,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,50,50,NULL,NULL,NULL,1
CT0396,IOCL-SRI PACHIAMMAN TRANSPORT,,IOC PACHAIAMMAN,2021-04-20,,NULL,160,NULL,IOCL1,Ms. CHITRA BALAKRISHNAN,OTHERS,OTHERS,NULL,100,NULL,NULL,NULL,NULL,1
